                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1975,                 1.3496,                  1.193,                0.76673,                 0.6252,                0.72072,                0.52091,                 1.0451,                 0.8567,                 1.0485,               0.070082,              0.0033242,              0.0033242
                      1,                 1.1127,                0.95181,                 1.1179,                0.76992,                0.63578,                0.73304,                0.51936,                 1.0903,                 0.8733,                 1.0763,               0.040016,              0.0065916,              0.0065916
                      2,                 1.1629,                 1.0036,                 1.1434,                0.78024,                0.60288,                0.70579,                0.47663,                 1.1828,                 1.0037,                 1.1345,              0.0098841,              0.0097931,              0.0097931
                      3,                 1.2182,                 1.0622,                 1.1847,                0.76121,                0.61896,                 0.7093,                0.48594,                  1.164,                0.93905,                 1.1494,               0.009703,               0.009703,               0.009703
                      4,                  1.208,                 1.0118,                 1.1798,                0.76151,                0.61155,                0.70924,                0.48798,                 1.1566,                0.92326,                  1.145,               0.009703,               0.009703,               0.009703
                      5,                 1.1815,                0.97915,                 1.1694,                0.77141,                0.64447,                0.73622,                 0.5106,                  1.125,                0.87449,                 1.1306,               0.009604,               0.009604,               0.009604
                      6,                 1.1689,                 0.9431,                 1.1621,                0.79616,                0.60992,                0.70585,                0.49231,                 1.1196,                0.91737,                 1.1246,               0.009505,               0.009505,               0.009505
                      7,                 1.1483,                0.92276,                 1.1495,                0.78239,                0.66215,                0.74746,                0.51766,                 1.1097,                0.84807,                 1.1228,               0.009406,               0.009406,               0.009406
                      8,                 1.1329,                0.89318,                 1.1389,                0.80995,                0.67152,                0.76142,                0.53976,                 1.0853,                0.81629,                 1.1098,               0.009307,               0.009307,               0.009307
                      9,                 1.1165,                0.87401,                 1.1327,                0.82945,                0.66845,                0.77517,                0.54836,                 1.0751,                0.78384,                 1.1002,               0.009208,               0.009208,               0.009208
                     10,                 1.1057,                0.85945,                  1.128,                0.84783,                0.66871,                 0.7856,                0.55949,                   1.07,                0.76577,                 1.0982,               0.009109,               0.009109,               0.009109
                     11,                 1.0975,                0.84281,                 1.1234,                0.85143,                0.66917,                0.78699,                0.55819,                  1.072,                0.77355,                  1.101,                0.00901,                0.00901,                0.00901
                     12,                 1.0866,                0.82625,                 1.1216,                0.80164,                0.70163,                0.78444,                0.56419,                 1.0506,                0.75193,                 1.0857,               0.008911,               0.008911,               0.008911
                     13,                 1.0766,                0.81792,                  1.115,                0.83875,                0.69338,                0.79649,                0.56894,                 1.0523,                0.74788,                 1.0899,               0.008812,               0.008812,               0.008812
                     14,                 1.0664,                0.79903,                 1.1029,                0.85563,                0.68082,                0.80048,                0.57195,                 1.0503,                0.72602,                 1.0895,               0.008713,               0.008713,               0.008713
                     15,                 1.0571,                0.78561,                 1.1005,                0.83257,                 0.6941,                0.79602,                0.57407,                 1.0378,                0.72626,                 1.0705,               0.008614,               0.008614,               0.008614
